name,url
Takeda Pharmaceutical Co. Ltd.,www.takeda.com
Warner Chilcott Co. Inc.,ir.wcrx.com
Purdue Pharma LP,www.purduepharma.com
Sirion Therapeutics,www.siriontherapeutics.com
Salix Pharmaceuticals,www.salix.com
Uluru Inc.,www.uluruinc.com
Medical Development Int Ltd.,www.medicaldev.com
Pfizer Animal Health,www.pfizerah.com
Rugby Laboratories,www.rugbylaboratories.com
Tedec Meiji Farma S A,www.tedecmeiji.com
Cotherix Inc.,
Time-Cap Labs,timecaplabs.com
William Laboratories Inc.,www.williamlabs.com
Yuhan Chemical Industrial Co. Ltd.,
Spectrum Chemicals and Laboratory Products,www.spectrumchemical.com
Astellas Pharma Inc.,www.astellas.com
Sun Pharmaceutical Industries Ltd.,www.sunpharma.com
Sigma-Tau Pharmaceuticals Inc.,www.sigmatau.com
TTY Biopharm Co. Ltd.,www.tty.com.tw
General Injectables and Vaccines Inc.,www.giv.com
Promius Pharma,www.promiuspharma.com
Centaur Pharmaceuticals Pvt Ltd.,www.centaurpharma.com
Zhejiang Huayi Pharmaceutical Co. Ltd.,huayipharm.en.hisupplier.com
Contract Pharm,www.contractpharma.com
Emcure Pharmaceuticals Ltd.,www.emcure.co.in
UCB Pharma,www.ucb.com
Valesco Pharmaceuticals Inc.,
Ben Venue Laboratories Inc.,www.benvenue.com
Pharmachemie BV,
Doak Dermatologics,
Amgen Inc.,www.amgen.com
BioMarin Pharmaceuticals Inc.,www.bmrn.com
Questcor,www.questcor.com
Zhejiang Xianju Pharmaceutical Co. Ltd.,www.junyepharm.com
Luitpold Pharmaceuticals Inc.,www.luitpold.com
SPI Pharma Sas,www.spipharma.com
United Guardian Inc.,www.u-g.com
Sunmark,www.sunmarkbrand.com
Santarus Inc.,www.santarus.com
US Pharmaceutical Corp.,www.uspco.com
Pliva Inc.,www.pliva.com
Deston Therapeutics,www.deston.com
Cambridge Isotope Laboratories Inc.,www.isotope.com
Zerxis Pharmaceuticals,www.zerxis.com
United States Pharmacopeial Convention Inc.,www.usp.org
Tiber Pharmaceuticals LLC,www.tiberlabs.com
Forest Pharmaceuticals,www.forestpharm.com
Seyer Pharmatec Inc.,www.spharmatec.com
Letco Medical Inc.,www.letcomedical.com
Raz Co. Inc.,
DSHealthcare Inc.,www.dshealthcare.com
Smiths Medical ASD Inc.,www.smiths-medical.com
Truett Laboratories,www.truettlabs.com
OMJ Pharmaceuticals,
Antigen Laboratories Inc.,www.antigenlab.com
River's Edge Pharmaceuticals,www.riversedgepharma.com
Synthera Dr Friedrichs Gmgh Co. KG,www.synthera.de
NutriScience Innovations LLC,www.nutriscienceusa.com
Bracco Diagnostics Inc.,www.bracco.com
Zhejiang Haisen Pharmaceutical Co. Ltd.,www.haisenpharma.com
Scios Inc.,www.sciosinc.com
Pharmaceutics International Inc.,www.pharm-int.com
QOL Medical,www.qolmed.com
