atc-code,drugbank-id
D06AA01,APRD00272
L01XE01,DB03261
A01AC01,APRD00422
A14AA08,APRD01151
C08CA04,APRD00088
N05AB02,APRD00633
G03BA03,DB05275
J05AR11,DB07709
R02AB04,APRD00816
C10AD02,APRD00536
,APRD00881
,APRD00487
M05BB06,APRD00561
L01BB06,DB06189
D06BB11,APRD00933
N05CM18,APRD00578
G01AE10,APRD00452
A07EA03,APRD00340
C10AB01,APRD00879
R06AX11,APRD00585
V04CH01,APRD01034
G01AF20,APRD00834
C01EB10,DB06639
C10BX01,APRD00104
L01BA04,EXPT02075
P02CA51,APRD01086
H01CA01,APRD01001
R02AD04,APRD00940
G01AA51,APRD01146
N02AC04,APRD00548
L01XX23,APRD00494
J05AR07,APRD00440
V03AF03,APRD00698
R03DB01,APRD00769
N02AD01,APRD01173
D11AX05,APRD01080
S01EE01,APRD01065
G03CC04,APRD00588
N06AX05,APRD00533
C02BB01,APRD00458
V03AE02,APRD01226
N07BB03,APRD00661
,APRD00514
C08DA01,APRD00335
R06AA10,APRD01277
D07CB05,APRD00975
G01AE10,APRD00517
L02BB02,APRD00150
H01CA02,APRD01129
S01EA01,EXPT00496
G01AE10,APRD00379
A02BX03,APRD00515
J01DD08,APRD00583
A10BB02,APRD00029
A04AD12,APRD00100
N06DA04,EXPT01628
L02BA01,APRD00123
P03AX01,DB02775
,APRD00763
C09CA01,APRD00052
N05AC02,APRD00596
C01BG01,APRD01124
G01AA03,APRD00797
B01AA03,APRD00341
N05CD08,APRD00680
J01GB01,APRD00582
J01MA13,APRD01281
G04BX15,APRD01175
H02AA02,DB02478
,APRD01602
,APRD00858
N05CD01,APRD00983
C09BA13,APRD01120
C04AB01,APRD00615
S01JA51,DB07777
L01DB02,APRD00521
G01AE10,DB07799
N02CA02,APRD00677
M03BX02,APRD00128
J01XE01,APRD00191
C04AE02,APRD00617
C03DA04,APRD00707
J05AE05,APRD00605
,APRD01026
S01EC05,APRD00740
N07BB04,DB05067
J05AG02,DB08563
G04CA52,APRD00036
L01XD01,APRD00078
N01AH03,DB05563
J05AR11,APRD00681
M05BA06,DB04635
P02CB02,APRD00918
S01BC04,APRD00753
J01CF04,APRD01149
N04BC07,DB05816
N06AB05,DB00715
R01AC07,APRD01137
G03AC01,APRD00679
J05AF08,APRD00781
R06AX09,APRD00810
M05BA02,APRD00639
C05AD05,DB05342
C10BX07,APRD00560
C01CA10,APRD00062
D06BB10,APRD01030
A03CB04,APRD01017
N06AA06,APRD00498
C01DA02,APRD00153
M03AC09,APRD01221
,APRD00928
P02CA02,DB08630
A10BX03,APRD00593
,APRD00806
V03AB04,APRD01193
N05AX08,APRD00187
D01AE22,APRD01131
A02BD06,APRD00363
R06AE05,APRD00354
P01CX01,EXPT02625
J01CA18,APRD01012
N07XX02,APRD00145
A07EA02,DB07886
R05CB16,EXPT02246
V08CA08,APRD00989
,APRD00265
N06BA07,APRD00534
V03AC01,APRD00904
N05CM05,APRD00616
R06AA08,APRD00765
M01AB08,APRD00067
N01BB04,APRD00180
S01GX10,APRD00043
N06AF04,APRD00645
N01AB06,APRD00212
N03AB01,APRD00962
D10AD51,APRD00362
D08AE01,APRD00722
A04AA04,APRD00518
B01AC04,APRD00444
S01AA09,APRD00572
J01DH02,EXPT02153
A12BA01,APRD01322
L01XX19,APRD00579
H03BB52,APRD00002
D07AC13,APRD00289
C02KB01,APRD01112
,APRD00049
,APRD00820
R01AC08,APRD00310
,APRD01018
G04BE01,APRD00785
A03CA02,APRD00737
P03AX03,APRD01081
L01CB01,APRD00239
G01AE10,APRD01020
B01AC17,APRD00304
N03AF02,APRD01308
N05CM06,APRD00339
J01FA06,APRD01305
J01MB02,APRD01133
N06AF03,APRD00099
A07AA05,APRD01190
A03CA34,APRD00177
G03FB08,APRD00311
M01AG01,APRD00730
,APRD00890
,APRD00559
R03DA20,DB05347
G02CC02,DB08298
,APRD00991
C09BA04,APRD01178
,APRD00130
R06AC04,APRD00689
D01AE11,APRD01011
N05CB01,APRD00549
G01AE10,DB08518
,APRD00420
M02AX02,APRD00170
J01GB03,APRD00214
D05AX05,APRD01246
C01CA19,APRD00969
N05BA13,APRD01009
N01AH02,APRD00726
J01XB01,APRD00886
A03AA07,APRD00113
