drugbank-id,name
APRD00856,approved
APRD01072,withdrawn
APRD01275,investigational
APRD00624,vet_approved
APRD00033,approved
APRD01142,approved
APRD00666,approved
DB03027,approved
APRD00857,approved
APRD00102,withdrawn
APRD00103,vet_approved
APRD00201,approved
APRD00948,investigational
APRD00513,vet_approved
APRD00649,approved
APRD00361,approved
EXPT00942,vet_approved
APRD01077,withdrawn
APRD00077,investigational
APRD00930,approved
APRD00939,vet_approved
EXPT02993,approved
APRD00618,approved
APRD00343,approved
APRD00074,approved
APRD00384,investigational
EXPT00946,vet_approved
APRD00020,approved
DB08002,approved
APRD00778,approved
APRD01290,investigational
APRD01128,approved
APRD00314,approved
APRD00757,withdrawn
APRD00575,investigational
APRD01060,approved
APRD00269,experimental
APRD00947,investigational
APRD00563,approved
APRD00011,approved
APRD00571,illicit
APRD00434,approved
APRD00530,vet_approved
APRD01014,withdrawn
APRD00058,approved
APRD00682,investigational
APRD00060,approved
APRD00482,vet_approved
APRD01219,investigational
APRD00550,vet_approved
APRD01303,approved
APRD00400,investigational
APRD00373,investigational
APRD00712,approved
APRD00034,approved
APRD00916,vet_approved
APRD01127,investigational
APRD00108,approved
APRD00652,approved
APRD01230,approved
APRD00222,investigational
APRD01117,approved
APRD00526,approved
APRD00854,approved
APRD00416,investigational
APRD00449,approved
APRD00903,investigational
APRD00387,investigational
APRD00166,investigational
APRD00984,investigational
APRD01268,approved
APRD00568,investigational
APRD00538,approved
APRD00312,investigational
APRD00733,approved
APRD00286,withdrawn
APRD00558,vet_approved
APRD00465,vet_approved
APRD00911,investigational
APRD01334,approved
EXPT03217,approved
DB04134,investigational
APRD00655,approved
APRD00359,approved
APRD00819,approved
APRD00800,approved
APRD00782,vet_approved
APRD01269,approved
APRD00199,approved
APRD00195,approved
APRD00818,withdrawn
APRD00017,investigational
APRD01109,approved
APRD01607,vet_approved
APRD00186,investigational
APRD00915,vet_approved
APRD00193,investigational
APRD00669,approved
APRD00951,investigational
APRD00408,investigational
APRD00512,withdrawn
APRD00151,withdrawn
APRD00864,withdrawn
APRD00644,approved
EXPT01546,approved
EXPT00999,investigational
APRD00993,investigational
APRD00391,investigational
APRD00602,approved
APRD00495,investigational
APRD00063,investigational
APRD00142,approved
EXPT03204,approved
APRD00380,investigational
APRD00724,approved
APRD00910,approved
EXPT00598,approved
APRD00377,investigational
APRD00297,investigational
EXPT01688,approved
APRD00202,investigational
APRD00157,approved
APRD01187,investigational
APRD00570,investigational
APRD01177,approved
APRD00688,approved
APRD00378,investigational
APRD00829,investigational
APRD01307,approved
APRD00935,vet_approved
APRD00728,approved
APRD00353,approved
APRD00337,investigational
APRD00874,approved
APRD01236,approved
APRD00250,vet_approved
APRD00332,investigational
DB11728,investigational
APRD00708,approved
APRD00194,investigational
EXPT02427,vet_approved
APRD00970,approved
APRD00319,withdrawn
DB07566,approved
APRD00684,vet_approved
APRD00697,investigational
APRD00846,investigational
APRD01085,investigational
DB07576,withdrawn
APRD01063,approved
APRD00543,investigational
APRD01070,investigational
APRD00510,vet_approved
APRD00706,approved
APRD00527,vet_approved
APRD00637,approved
APRD00065,approved
APRD00636,investigational
APRD00474,approved
APRD00977,vet_approved
DB11514,vet_approved
APRD00318,approved
EXPT00514,approved
APRD00019,vet_approved
APRD01010,approved
APRD00992,investigational
APRD01062,approved
APRD00660,vet_approved
APRD01121,approved
DB08769,investigational
APRD01058,vet_approved
APRD00627,investigational
APRD00454,withdrawn
APRD01243,investigational
EXPT01082,approved
DB08269,investigational
APRD00468,vet_approved
APRD00961,approved
APRD00555,investigational
APRD00835,vet_approved
APRD00257,approved
APRD00796,investigational
APRD00988,vet_approved
APRD00094,investigational
APRD00027,experimental
APRD00236,approved
APRD00272,approved
DB03261,approved
APRD00422,vet_approved
APRD01151,investigational
APRD00088,investigational
APRD00633,approved
DB05275,investigational
DB07709,investigational
APRD00816,vet_approved
APRD00536,nutraceutical
APRD00881,illicit
APRD00487,investigational
APRD00561,approved
DB06189,investigational
APRD00933,investigational
APRD00578,vet_approved
APRD00452,approved
APRD00340,vet_approved
APRD00879,investigational
APRD00585,withdrawn
APRD01034,nutraceutical
APRD00834,approved
DB06639,investigational
APRD00104,approved
EXPT02075,investigational
APRD01086,vet_approved
APRD01001,vet_approved
APRD00940,approved
APRD01146,vet_approved
APRD00548,withdrawn
APRD00494,approved
APRD00440,investigational
APRD00698,approved
APRD00769,approved
APRD01173,vet_approved
APRD01080,vet_approved
APRD01065,investigational
APRD00588,approved
APRD00533,investigational
APRD00458,investigational
APRD01226,approved
APRD00661,investigational
APRD00514,approved
APRD00335,approved
APRD01277,investigational
APRD00975,vet_approved
APRD00517,withdrawn
APRD00150,investigational
APRD01129,approved
EXPT00496,vet_approved
APRD00379,investigational
APRD00515,approved
APRD00583,investigational
APRD00029,investigational
APRD00100,investigational
EXPT01628,approved
APRD00123,approved
DB02775,approved
APRD00763,withdrawn
APRD00052,approved
APRD00596,withdrawn
APRD01124,withdrawn
APRD00797,investigational
APRD00341,approved
APRD00680,illicit
APRD00582,investigational
APRD01281,withdrawn
APRD01175,approved
DB02478,investigational
APRD01602,investigational
APRD00858,approved
APRD00983,investigational
APRD01120,approved
APRD00615,approved
DB07777,approved
APRD00521,approved
DB07799,vet_approved
APRD00677,approved
APRD00128,investigational
APRD00191,vet_approved
APRD00617,investigational
APRD00707,approved
APRD00605,investigational
APRD01026,investigational
APRD00740,approved
DB05067,vet_approved
DB08563,approved
APRD00036,investigational
APRD00078,investigational
DB05563,investigational
APRD00681,investigational
DB04635,investigational
APRD00918,vet_approved
APRD00753,investigational
APRD01149,investigational
DB05816,investigational
DB00715,investigational
APRD01137,investigational
APRD00679,approved
APRD00781,investigational
APRD00810,approved
APRD00639,vet_approved
DB05342,vet_approved
APRD00560,investigational
APRD00062,investigational
APRD01030,investigational
APRD01017,approved
APRD00498,approved
APRD00153,investigational
APRD01221,approved
APRD00928,withdrawn
DB08630,vet_approved
APRD00593,investigational
APRD00806,approved
APRD01193,vet_approved
APRD00187,investigational
APRD01131,approved
APRD00363,investigational
APRD00354,approved
EXPT02625,investigational
APRD01012,withdrawn
APRD00145,investigational
DB07886,vet_approved
EXPT02246,investigational
APRD00989,investigational
APRD00265,withdrawn
APRD00534,investigational
APRD00904,investigational
APRD00616,investigational
APRD00765,approved
APRD00067,vet_approved
APRD00180,approved
APRD00043,investigational
APRD00645,investigational
APRD00212,vet_approved
APRD00962,approved
APRD00362,nutraceutical
APRD00722,withdrawn
APRD00518,investigational
APRD00444,approved
APRD00572,vet_approved
EXPT02153,investigational
APRD01322,withdrawn
APRD00579,investigational
APRD00002,approved
APRD00289,vet_approved
APRD01112,approved
APRD00049,vet_approved
APRD00820,withdrawn
APRD00310,approved
APRD01018,approved
APRD00785,investigational
APRD00737,approved
APRD01081,investigational
APRD00239,approved
APRD01020,investigational
APRD00304,approved
APRD01308,approved
APRD00339,approved
APRD01305,withdrawn
APRD01133,investigational
APRD00099,approved
APRD01190,vet_approved
APRD00177,approved
APRD00311,vet_approved
APRD00730,approved
APRD00890,approved
APRD00559,investigational
DB05347,approved
DB08298,vet_approved
APRD00991,approved
APRD01178,approved
APRD00130,approved
APRD00689,vet_approved
APRD01011,withdrawn
APRD00549,vet_approved
DB08518,approved
APRD00420,approved
APRD00170,vet_approved
APRD00214,vet_approved
APRD01246,investigational
APRD00969,approved
